Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.75,0.63,0.6,0.65,0.66,0.61,0.6,0.65,0.61,0.62,0.61,0.64,0.75,0.64,0.58,0.66,0.6,0.66,0.61,0.63,0.67,0.64,0.64,0.68,0.67,0.68,0.59,0.57,0.65,0.62
AdiacTruncEnd,0.7084398976982097,0.6470588235294118,0.659846547314578,0.618925831202046,0.6419437340153452,0.6419437340153452,0.6342710997442456,0.629156010230179,0.649616368286445,0.6240409207161125,0.6368286445012787,0.6265984654731458,0.6419437340153452,0.6368286445012787,0.649616368286445,0.6777493606138107,0.6751918158567775,0.6317135549872123,0.6240409207161125,0.6675191815856778,0.659846547314578,0.6828644501278772,0.6470588235294118,0.6317135549872123,0.6956521739130435,0.639386189258312,0.6010230179028133,0.670076726342711,0.618925831202046,0.6547314578005116
ArrowHeadTruncEnd,0.7028571428571428,0.6057142857142858,0.5942857142857143,0.6228571428571429,0.64,0.7028571428571428,0.5942857142857143,0.6742857142857143,0.6628571428571428,0.5828571428571429,0.7142857142857143,0.6971428571428572,0.68,0.6685714285714286,0.6171428571428571,0.7028571428571428,0.6971428571428572,0.6228571428571429,0.6514285714285715,0.6457142857142857,0.6,0.6171428571428571,0.6342857142857142,0.7028571428571428,0.6114285714285714,0.6057142857142858,0.64,0.6971428571428572,0.5828571428571429,0.64
BMETruncEnd,0.6933333333333334,0.7466666666666667,0.6133333333333333,0.6866666666666666,0.6533333333333333,0.7333333333333333,0.7,0.6333333333333333,0.6933333333333334,0.6733333333333333,0.6466666666666666,0.6733333333333333,0.66,0.6533333333333333,0.8333333333333334,0.6866666666666666,0.68,0.74,0.64,0.72,0.64,0.7533333333333333,0.68,0.6466666666666666,0.6066666666666667,0.6866666666666666,0.7266666666666667,0.6533333333333333,0.7266666666666667,0.6066666666666667
BeefTruncStart,0.3,0.3333333333333333,0.4,0.3333333333333333,0.43333333333333335,0.43333333333333335,0.2,0.26666666666666666,0.13333333333333333,0.2,0.1,0.3333333333333333,0.2,0.2,0.16666666666666666,0.3333333333333333,0.23333333333333334,0.23333333333333334,0.26666666666666666,0.2,0.2,0.23333333333333334,0.2,0.3333333333333333,0.3,0.3,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.36666666666666664
BeetleFlyTruncEnd,0.7,0.6,0.7,0.7,0.95,0.75,0.7,0.75,0.7,0.75,0.7,0.75,0.8,0.55,0.75,0.8,0.75,0.75,0.6,0.85,0.7,0.7,0.7,0.85,0.65,0.75,0.8,0.85,0.8,0.75
BirdChickenTruncEnd,0.75,0.7,0.75,0.8,0.55,0.45,0.75,0.65,0.65,0.7,0.65,0.85,0.85,0.8,0.65,0.8,0.65,0.7,0.7,0.75,0.75,0.7,0.75,0.65,0.75,0.9,0.8,0.6,0.8,0.75
CBFTruncEnd,0.66,0.5822222222222222,0.6722222222222223,0.4922222222222222,0.5511111111111111,0.4766666666666667,0.49777777777777776,0.6711111111111111,0.57,0.5177777777777778,0.5577777777777778,0.6133333333333333,0.6322222222222222,0.47333333333333333,0.5633333333333334,0.40444444444444444,0.5011111111111111,0.6066666666666667,0.41444444444444445,0.66,0.6311111111111111,0.5444444444444444,0.5055555555555555,0.6211111111111111,0.5655555555555556,0.4766666666666667,0.4255555555555556,0.5544444444444444,0.4411111111111111,0.48444444444444446
CarTruncEnd,0.5833333333333334,0.7166666666666667,0.6166666666666667,0.7166666666666667,0.6833333333333333,0.6333333333333333,0.7166666666666667,0.7666666666666667,0.6333333333333333,0.7166666666666667,0.7833333333333333,0.7166666666666667,0.6666666666666666,0.8166666666666667,0.7166666666666667,0.7,0.7833333333333333,0.75,0.6666666666666666,0.6666666666666666,0.6833333333333333,0.7833333333333333,0.7333333333333333,0.7166666666666667,0.6666666666666666,0.7,0.65,0.6833333333333333,0.6666666666666666,0.6666666666666666
ChlorineConcentrationTruncStart,0.5083333333333333,0.5177083333333333,0.53671875,0.5296875,0.5013020833333334,0.5294270833333333,0.5346354166666667,0.53515625,0.5223958333333333,0.53046875,0.5161458333333333,0.5361979166666667,0.53125,0.5388020833333333,0.5002604166666667,0.5307291666666667,0.525,0.5346354166666667,0.5302083333333333,0.52734375,0.5380208333333333,0.5283854166666667,0.5361979166666667,0.5174479166666667,0.5408854166666667,0.5130208333333334,0.5432291666666667,0.53125,0.5140625,0.5354166666666667
CinCECGTorsoTruncEnd,0.9521739130434783,0.9492753623188406,0.9108695652173913,0.9050724637681159,0.8789855072463768,0.8898550724637682,0.9007246376811594,0.9536231884057971,0.9050724637681159,0.9181159420289855,0.9297101449275362,0.922463768115942,0.8572463768115942,0.9427536231884058,0.9057971014492754,0.9384057971014492,0.8543478260869565,0.9021739130434783,0.9014492753623189,0.8985507246376812,0.8521739130434782,0.9239130434782609,0.9239130434782609,0.9521739130434783,0.8514492753623188,0.9115942028985508,0.8753623188405797,0.9014492753623189,0.8536231884057971,0.8956521739130435
CoffeeTruncStart,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.6071428571428571,0.5357142857142857,0.6785714285714286,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.6071428571428571,0.8214285714285714,0.5714285714285714,0.8214285714285714,0.75,0.6071428571428571,0.6071428571428571,0.5357142857142857,0.6428571428571429,0.6071428571428571,0.7142857142857143,0.75,0.6071428571428571,0.75,0.5357142857142857,0.75,0.5,0.42857142857142855
ComputersTruncStart,0.656,0.74,0.756,0.716,0.724,0.736,0.72,0.696,0.74,0.732,0.74,0.736,0.728,0.708,0.736,0.744,0.712,0.724,0.784,0.744,0.752,0.72,0.712,0.736,0.708,0.784,0.732,0.752,0.676,0.692
CricketXTruncEnd,0.4,0.40512820512820513,0.4025641025641026,0.38461538461538464,0.43333333333333335,0.4358974358974359,0.4307692307692308,0.38974358974358975,0.39487179487179486,0.3717948717948718,0.41025641025641024,0.4358974358974359,0.4076923076923077,0.4025641025641026,0.4025641025641026,0.38974358974358975,0.3769230769230769,0.3974358974358974,0.3974358974358974,0.4,0.3871794871794872,0.441025641025641,0.4,0.358974358974359,0.4282051282051282,0.39487179487179486,0.382051282051282,0.3871794871794872,0.4,0.3564102564102564
CricketYTruncEnd,0.4256410256410256,0.4128205128205128,0.41794871794871796,0.441025641025641,0.4717948717948718,0.45384615384615384,0.45897435897435895,0.4153846153846154,0.4128205128205128,0.48205128205128206,0.47692307692307695,0.4794871794871795,0.43846153846153846,0.47692307692307695,0.4307692307692308,0.4512820512820513,0.4307692307692308,0.4666666666666667,0.4948717948717949,0.441025641025641,0.4461538461538462,0.4256410256410256,0.47435897435897434,0.4256410256410256,0.4717948717948718,0.44358974358974357,0.44871794871794873,0.4230769230769231,0.44358974358974357,0.4307692307692308
CricketZTruncEnd,0.41025641025641024,0.4,0.4307692307692308,0.4205128205128205,0.4153846153846154,0.36923076923076925,0.4205128205128205,0.4025641025641026,0.3974358974358974,0.4153846153846154,0.4,0.4282051282051282,0.41025641025641024,0.4025641025641026,0.3871794871794872,0.40512820512820513,0.4128205128205128,0.3974358974358974,0.3974358974358974,0.41025641025641024,0.4025641025641026,0.4076923076923077,0.4,0.4307692307692308,0.36666666666666664,0.36923076923076925,0.3769230769230769,0.382051282051282,0.40512820512820513,0.41025641025641024
CropTruncEnd,0.5075,0.5095833333333334,0.5102380952380953,0.5118452380952381,0.5095833333333334,0.5105357142857143,0.5156547619047619,0.509702380952381,0.5124404761904762,0.5124404761904762,0.5102380952380953,0.5126190476190476,0.5105952380952381,0.5048214285714285,0.5089285714285714,0.5105357142857143,0.508452380952381,0.5086904761904761,0.5123214285714286,0.5105357142857143,0.50875,0.5119047619047619,0.5058333333333334,0.5075,0.5129166666666667,0.5093452380952381,0.5105952380952381,0.5123809523809524,0.5082738095238095,0.5155357142857143
DiatomSizeReductionTruncEnd,0.7156862745098039,0.8169934640522876,0.803921568627451,0.7352941176470589,0.8790849673202614,0.803921568627451,0.7875816993464052,0.8366013071895425,0.8758169934640523,0.8366013071895425,0.8627450980392157,0.8856209150326797,0.8725490196078431,0.869281045751634,0.8333333333333334,0.8235294117647058,0.8594771241830066,0.7287581699346405,0.869281045751634,0.8366013071895425,0.8104575163398693,0.8790849673202614,0.7581699346405228,0.8562091503267973,0.8529411764705882,0.8366013071895425,0.7908496732026143,0.8594771241830066,0.7973856209150327,0.7679738562091504
DistalPhalanxOutlineAgeGroupTruncStart,0.5755395683453237,0.5323741007194245,0.60431654676259,0.5611510791366906,0.5755395683453237,0.5323741007194245,0.5467625899280576,0.539568345323741,0.5035971223021583,0.5683453237410072,0.539568345323741,0.6258992805755396,0.5323741007194245,0.5827338129496403,0.5683453237410072,0.5683453237410072,0.5683453237410072,0.6115107913669064,0.5611510791366906,0.5827338129496403,0.6402877697841727,0.5755395683453237,0.5899280575539568,0.6115107913669064,0.5539568345323741,0.5611510791366906,0.5539568345323741,0.5539568345323741,0.5899280575539568,0.60431654676259
DistalPhalanxOutlineCorrectTruncStart,0.572463768115942,0.644927536231884,0.6304347826086957,0.6485507246376812,0.6159420289855072,0.605072463768116,0.6521739130434783,0.6086956521739131,0.6268115942028986,0.6376811594202898,0.6376811594202898,0.6413043478260869,0.6159420289855072,0.6304347826086957,0.6159420289855072,0.6739130434782609,0.605072463768116,0.6195652173913043,0.6557971014492754,0.6231884057971014,0.6340579710144928,0.6231884057971014,0.6231884057971014,0.6485507246376812,0.6304347826086957,0.6594202898550725,0.6594202898550725,0.6557971014492754,0.6268115942028986,0.6231884057971014
DistalPhalanxTWTruncStart,0.38848920863309355,0.4028776978417266,0.4316546762589928,0.4028776978417266,0.38848920863309355,0.41007194244604317,0.4244604316546763,0.4316546762589928,0.39568345323741005,0.4244604316546763,0.34532374100719426,0.4460431654676259,0.4172661870503597,0.37410071942446044,0.4028776978417266,0.39568345323741005,0.4172661870503597,0.41007194244604317,0.4028776978417266,0.4244604316546763,0.35251798561151076,0.38848920863309355,0.4244604316546763,0.4028776978417266,0.4244604316546763,0.4028776978417266,0.37410071942446044,0.41007194244604317,0.41007194244604317,0.39568345323741005
ECG200TruncEnd,0.83,0.87,0.79,0.73,0.86,0.82,0.82,0.84,0.81,0.86,0.82,0.87,0.84,0.89,0.85,0.83,0.82,0.83,0.83,0.85,0.84,0.82,0.82,0.82,0.84,0.84,0.8,0.84,0.84,0.84
ECG5000TruncStart,0.7755555555555556,0.7875555555555556,0.7868888888888889,0.7857777777777778,0.7804444444444445,0.778,0.7755555555555556,0.7886666666666666,0.7731111111111111,0.7808888888888889,0.7871111111111111,0.7664444444444445,0.7844444444444445,0.7924444444444444,0.7842222222222223,0.7906666666666666,0.7944444444444444,0.7773333333333333,0.7771111111111111,0.7828888888888889,0.7682222222222223,0.7802222222222223,0.76,0.7742222222222223,0.7726666666666666,0.7862222222222223,0.7951111111111111,0.784,0.7917777777777778,0.786
ECGFiveDaysTruncStart,0.4994192799070848,0.5447154471544715,0.5354239256678281,0.5679442508710801,0.5644599303135889,0.5423925667828107,0.5563298490127758,0.5319396051103368,0.5365853658536586,0.5238095238095238,0.537746806039489,0.5830429732868757,0.454123112659698,0.5075493612078978,0.49477351916376305,0.5168408826945412,0.5481997677119629,0.5331010452961672,0.49825783972125437,0.5342624854819977,0.5481997677119629,0.5389082462253194,0.5574912891986062,0.46689895470383275,0.5598141695702671,0.5516840882694541,0.5807200929152149,0.5238095238095238,0.5632984901277585,0.5516840882694541
EOGHorizontalSignalTruncEnd,0.13535911602209943,0.09668508287292818,0.11878453038674033,0.13812154696132597,0.13535911602209943,0.11878453038674033,0.11878453038674033,0.13535911602209943,0.12430939226519337,0.12154696132596685,0.10497237569060773,0.11878453038674033,0.14917127071823205,0.13535911602209943,0.1270718232044199,0.12430939226519337,0.11049723756906077,0.10497237569060773,0.11602209944751381,0.10773480662983426,0.13259668508287292,0.1298342541436464,0.10497237569060773,0.12430939226519337,0.11049723756906077,0.09116022099447514,0.1298342541436464,0.09944751381215469,0.13812154696132597,0.10497237569060773
EOGVerticalSignalTruncEnd,0.09116022099447514,0.10220994475138122,0.09392265193370165,0.10497237569060773,0.09944751381215469,0.0856353591160221,0.09392265193370165,0.10497237569060773,0.0856353591160221,0.0856353591160221,0.07458563535911603,0.09392265193370165,0.09392265193370165,0.10220994475138122,0.07734806629834254,0.0856353591160221,0.08839779005524862,0.08839779005524862,0.07458563535911603,0.10773480662983426,0.0718232044198895,0.08839779005524862,0.09668508287292818,0.12154696132596685,0.0856353591160221,0.07458563535911603,0.06629834254143646,0.08011049723756906,0.08287292817679558,0.07734806629834254
EarthquakesTruncStart,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7553956834532374,0.7482014388489209,0.7553956834532374,0.762589928057554,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7553956834532374,0.7482014388489209,0.7553956834532374
ElectricDevicesTruncStart,0.4618078070289197,0.5785241862274673,0.5800804046167812,0.5799507197510051,0.58384126572429,0.5824147322007521,0.5825444170665284,0.5863052781740371,0.5890286603553365,0.5825444170665284,0.588639605758008,0.5839709505900661,0.5843600051873946,0.5856568538451563,0.5825444170665284,0.5786538710932434,0.5763195435092725,0.5869537025029179,0.5780054467643626,0.5790429256905719,0.5847490597847231,0.5857865387109324,0.5790429256905719,0.5721696278044353,0.5809881986772144,0.5773570224354818,0.5876021268317987,0.5737258461937492,0.5821553624691999,0.5837115808585138
EthanolLevelTruncEnd,0.402,0.464,0.474,0.47,0.522,0.504,0.492,0.502,0.514,0.496,0.484,0.474,0.5,0.488,0.496,0.478,0.504,0.49,0.504,0.5,0.466,0.492,0.53,0.528,0.512,0.486,0.492,0.496,0.464,0.456
FaceAllTruncEnd,0.7337278106508875,0.7840236686390533,0.7550295857988165,0.7810650887573964,0.7976331360946746,0.7733727810650888,0.7763313609467456,0.7952662721893491,0.7739644970414201,0.7940828402366864,0.7911242603550296,0.7727810650887574,0.778698224852071,0.7822485207100591,0.7994082840236686,0.7668639053254438,0.8017751479289941,0.7668639053254438,0.7769230769230769,0.7917159763313609,0.7840236686390533,0.7656804733727811,0.7928994082840237,0.7781065088757396,0.7745562130177515,0.8005917159763314,0.755621301775148,0.7674556213017751,0.755621301775148,0.7562130177514793
FaceFourTruncEnd,0.6477272727272727,0.8295454545454546,0.6704545454545454,0.7840909090909091,0.6818181818181818,0.7727272727272727,0.8863636363636364,0.875,0.8522727272727273,0.7727272727272727,0.7840909090909091,0.6818181818181818,0.7840909090909091,0.8181818181818182,0.7954545454545454,0.7272727272727273,0.8522727272727273,0.6818181818181818,0.8636363636363636,0.7386363636363636,0.7272727272727273,0.7840909090909091,0.7159090909090909,0.9090909090909091,0.625,0.7272727272727273,0.8295454545454546,0.75,0.8522727272727273,0.7045454545454546
FacesUCRTruncStart,0.22439024390243903,0.2346341463414634,0.22048780487804878,0.2634146341463415,0.24292682926829268,0.23317073170731709,0.24048780487804877,0.23658536585365852,0.23073170731707318,0.21707317073170732,0.24097560975609755,0.22634146341463415,0.23853658536585365,0.23219512195121952,0.1975609756097561,0.23121951219512196,0.2395121951219512,0.24341463414634146,0.23219512195121952,0.22341463414634147,0.23902439024390243,0.2502439024390244,0.2424390243902439,0.2575609756097561,0.2346341463414634,0.24048780487804877,0.21414634146341463,0.2521951219512195,0.24780487804878049,0.24390243902439024
FiftyWordsTruncEnd,0.3758241758241758,0.34505494505494505,0.3868131868131868,0.3978021978021978,0.4043956043956044,0.37362637362637363,0.3956043956043956,0.41098901098901097,0.41318681318681316,0.3868131868131868,0.37142857142857144,0.35824175824175825,0.3802197802197802,0.4,0.3912087912087912,0.4087912087912088,0.36923076923076925,0.38461538461538464,0.389010989010989,0.4,0.367032967032967,0.3516483516483517,0.34725274725274724,0.3934065934065934,0.35824175824175825,0.4087912087912088,0.3956043956043956,0.4043956043956044,0.42637362637362636,0.389010989010989
FishTruncEnd,0.8171428571428572,0.8228571428571428,0.7714285714285715,0.8057142857142857,0.7942857142857143,0.8,0.8342857142857143,0.8228571428571428,0.7828571428571428,0.8285714285714286,0.76,0.7771428571428571,0.8114285714285714,0.7714285714285715,0.7771428571428571,0.7942857142857143,0.8114285714285714,0.8514285714285714,0.7942857142857143,0.8,0.8171428571428572,0.8342857142857143,0.8,0.7942857142857143,0.7657142857142857,0.7885714285714286,0.7714285714285715,0.8,0.7542857142857143,0.7714285714285715
FordATruncEnd,0.8265151515151515,0.8333333333333334,0.831060606060606,0.8204545454545454,0.8166666666666667,0.8265151515151515,0.8212121212121212,0.8166666666666667,0.8113636363636364,0.8295454545454546,0.8416666666666667,0.8371212121212122,0.8303030303030303,0.8196969696969697,0.8333333333333334,0.8303030303030303,0.8363636363636363,0.8204545454545454,0.8272727272727273,0.8265151515151515,0.8242424242424242,0.8174242424242424,0.8196969696969697,0.8431818181818181,0.8401515151515152,0.818939393939394,0.8265151515151515,0.8295454545454546,0.8287878787878787,0.8227272727272728
FordBTruncStart,0.6839506172839506,0.8111111111111111,0.8037037037037037,0.8395061728395061,0.8135802469135802,0.8382716049382716,0.8345679012345679,0.8246913580246914,0.837037037037037,0.8271604938271605,0.7950617283950617,0.825925925925926,0.8135802469135802,0.8185185185185185,0.8333333333333334,0.8160493827160494,0.8246913580246914,0.8111111111111111,0.8185185185185185,0.8209876543209876,0.808641975308642,0.825925925925926,0.8246913580246914,0.8395061728395061,0.825925925925926,0.8246913580246914,0.8419753086419753,0.8296296296296296,0.8185185185185185,0.8271604938271605
FreezerRegularTrainTruncEnd,0.988421052631579,0.9968421052631579,0.9789473684210527,0.9712280701754386,0.9856140350877193,0.9943859649122807,0.9950877192982456,0.9757894736842105,0.9768421052631578,0.9926315789473684,0.9873684210526316,0.9929824561403509,0.9887719298245614,0.991578947368421,0.9950877192982456,0.996140350877193,0.9789473684210527,0.992280701754386,0.9954385964912281,0.9954385964912281,0.9936842105263158,0.9814035087719298,0.9954385964912281,0.9796491228070175,0.9971929824561403,0.9792982456140351,0.9852631578947368,0.987719298245614,0.9919298245614036,0.9785964912280701
